Transaction id,Date,Weekno,customer,Gender
1,20230104,1,CUST032,Male
2,20230113,2,CUST003,Male
3,20230114,2,CUST021,Female
4,20230116,3,CUST015,Female
5,20230117,3,CUST014,Male
6,20230123,4,CUST049,Female
7,20230124,4,CUST064,Male
8,20230205,5,CUST063,Male
9,20230206,6,CUST085,Male
10,20230210,6,CUST054,Female
11,20230210,6,CUST068,Male
12,20230214,7,CUST011,Male
13,20230217,7,CUST016,Male
14,20230217,7,CUST042,Male
15,20230219,7,CUST044,Female
16,20230221,8,CUST070,Female
17,20230222,8,CUST008,Male
18,20230222,8,CUST041,Male
19,20230227,9,CUST002,Female
20,20230305,9,CUST052,Female
21,20230313,10,CUST007,Male
22,20230321,12,CUST038,Male
23,20230323,12,CUST033,Female
24,20230325,12,CUST076,Female
25,20230325,12,CUST091,Female
26,20230329,13,CUST088,Male
27,20230409,14,CUST061,Male
28,20230412,15,CUST023,Female
29,20230418,16,CUST079,Male
30,20230421,16,CUST039,Male
31,20230422,16,CUST017,Female
32,20230423,16,CUST028,Female
33,20230423,16,CUST098,Female
34,20230425,17,CUST006,Female
35,20230427,17,CUST066,Female
36,20230430,17,CUST018,Female
37,20230430,17,CUST069,Female
38,20230506,18,CUST005,Male
39,20230506,18,CUST090,Female
40,20230516,20,CUST048,Male
41,20230517,20,CUST081,Male
42,20230519,20,CUST094,Female
43,20230521,20,CUST004,Male
44,20230523,21,CUST031,Male
45,20230523,21,CUST037,Female
46,20230523,21,CUST072,Female
47,20230529,22,CUST067,Female
48,20230531,22,CUST056,Female
49,20230616,24,CUST100,Male
50,20230622,25,CUST040,Male
51,20230624,25,CUST036,Male
52,20230626,26,CUST046,Female
53,20230701,26,CUST078,Female
54,20230703,27,CUST045,Female
55,20230705,27,CUST059,Male
56,20230706,27,CUST075,Male
57,20230709,27,CUST077,Female
58,20230713,28,CUST053,Male
59,20230714,28,CUST043,Female
60,20230714,28,CUST071,Female
61,20230714,28,CUST093,Female
62,20230803,31,CUST027,Female
63,20230805,31,CUST013,Male
64,20230805,31,CUST035,Female
65,20230818,33,CUST029,Female
66,20230821,34,CUST073,Male
67,20230824,34,CUST050,Female
68,20230825,34,CUST092,Female
69,20230916,37,CUST019,Female
70,20231001,39,CUST089,Female
71,20231002,40,CUST051,Male
72,20231007,40,CUST010,Female
73,20231007,40,CUST026,Female
74,20231010,41,CUST055,Male
75,20231013,41,CUST097,Female
76,20231015,41,CUST022,Male
77,20231023,43,CUST060,Male
78,20231029,43,CUST030,Female
79,20231030,44,CUST012,Male
80,20231105,44,CUST020,Male
81,20231106,45,CUST047,Female
82,20231108,45,CUST086,Male
83,20231113,46,CUST058,Male
84,20231118,46,CUST057,Female
85,20231122,47,CUST074,Female
86,20231122,47,CUST087,Female
87,20231124,47,CUST001,Male
88,20231124,47,CUST095,Female
89,20231128,48,CUST084,Female
90,20231129,48,CUST024,Female
91,20231205,49,CUST065,Male
92,20231210,49,CUST080,Female
