Transaction id,age
1,30
2,50
3,50
4,42
5,64
6,54
7,49
8,57
9,31
10,38
11,25
12,23
13,19
14,22
15,22
16,43
17,30
18,34
19,26
20,36
21,46
22,38
23,50
24,22
25,55
26,56
27,21
28,35
29,34
30,23
31,27
32,43
33,55
34,45
35,45
36,47
37,56
38,30
39,51
40,54
41,40
42,47
43,37
44,44
45,18
46,20
47,48
48,26
49,41
50,45
51,52
52,20
53,47
54,55
55,62
56,61
57,47
58,34
59,48
60,51
61,35
62,38
63,22
64,58
65,42
66,29
67,27
68,51
69,62
70,55
71,27
72,52
73,28
74,31
75,51
76,18
77,30
78,39
79,35
80,22
81,40
82,19
83,18
84,63
85,18
86,28
87,34
88,32
89,38
90,49
91,51
92,64
93,63
94,54
95,50
96,44
97,51
98,64
99,32
100,18
101,30
102,50
103,50
104,42
105,64
106,54
107,49
108,57
109,31
110,38
111,25
112,23
113,19
114,22
115,22
116,43
117,30
118,34
119,26
120,36
121,46
122,38
123,50
124,22
125,55
126,56
127,21
128,35
129,34
130,23
131,27
132,43
133,55
134,45
135,45
136,47
137,56
138,30
139,51
140,54
141,40
142,47
143,37
144,44
145,18
146,20
147,48
148,26
149,41
150,45
151,52
152,20
153,47
154,55
155,62
156,61
157,47
158,34
159,48
160,51
161,35
162,38
163,22
164,58
165,42
166,29
167,27
168,51
169,62
170,55
171,27
172,52
173,28
174,31
175,51
176,18
177,30
178,39
179,35
180,22
181,40
182,19
183,18
184,63
185,18
186,28
187,34
188,32
189,38
190,49
191,51
192,64
193,63
194,54
195,50
196,44
197,51
198,64
199,32
200,18
201,30
202,50
203,50
204,42
205,64
206,54
207,49
208,57
209,31
210,38
211,25
212,23
213,19
214,22
215,22
216,43
217,30
218,34
219,26
220,36
221,46
222,38
223,50
224,22
225,55
226,56
227,21
228,35
229,34
230,23
231,27
232,43
233,55
234,45
235,45
236,47
237,56
238,30
239,51
240,54
241,40
242,47
243,37
244,44
245,18
246,20
247,48
248,26
249,41
250,45
251,52
252,20
253,47
254,55
255,62
256,61
257,47
258,34
259,48
260,51
261,35
262,38
263,22
264,58
265,42
266,29
267,27
268,51
269,62
270,55
271,27
272,52
273,28
274,31
275,51
276,18
277,30
278,39
279,35
280,22
281,40
282,19
283,18
284,63
285,18
286,28
287,34
288,32
289,38
290,49
291,51
292,64
293,63
294,54
295,50
296,44
297,51
298,64
299,32
300,18
301,30
302,50
303,50
304,42
305,64
306,54
307,49
308,57
309,31
310,38
311,25
312,23
313,19
314,22
315,22
316,43
317,30
318,34
319,26
320,36
321,46
322,38
323,50
324,22
325,55
326,56
327,21
328,35
329,34
330,23
331,27
332,43
333,55
334,45
335,45
336,47
337,56
338,30
339,51
340,54
341,40
342,47
343,37
344,44
345,18
346,20
347,48
348,26
349,41
350,45
351,52
352,20
353,47
354,55
355,62
356,61
357,47
358,34
359,48
360,51
361,35
362,38
363,22
364,58
365,42
366,29
367,27
368,51
369,62
370,55
371,27
372,52
373,28
374,31
375,51
376,18
377,30
378,39
379,35
380,22
381,40
382,19
383,18
384,63
385,18
386,28
387,34
388,32
389,38
390,49
391,51
392,64
393,63
394,54
395,50
396,44
397,51
398,64
399,32
400,18
401,30
402,50
403,50
404,42
405,64
406,54
407,49
408,57
409,31
410,38
411,25
412,23
413,19
414,22
415,22
416,43
417,30
418,34
419,26
420,36
421,46
422,38
423,50
424,22
425,55
426,56
427,21
428,35
429,34
430,23
431,27
432,43
433,55
434,45
435,45
436,47
437,56
438,30
439,51
440,54
441,40
442,47
443,37
444,44
445,18
446,20
447,48
448,26
449,41
450,45
451,52
452,20
453,47
454,55
455,62
456,61
457,47
458,34
459,48
460,51
461,35
462,38
463,22
464,58
465,42
466,29
467,27
468,51
469,62
470,55
471,27
472,52
473,28
474,31
475,51
476,18
477,30
478,39
479,35
480,22
481,40
482,19
483,18
484,63
485,18
486,28
487,34
488,32
489,38
490,49
491,51
492,64
493,63
494,54
495,50
496,44
497,51
498,64
499,32
500,18
501,30
502,50
503,50
504,42
505,64
506,54
507,49
508,57
509,31
510,38
511,25
512,23
513,19
514,22
515,22
516,43
517,30
518,34
519,26
520,36
521,46
522,38
523,50
