,Country (or dependency),Population -2025,Yearly Change,Net Change,Density(P/Km²),Land Area(Km²),Migrants(net),Fert.Rate,Median Age,Urban Pop %,World Share,,
1,India,"1,46,38,65,525",0.89%,"1,29,29,734",492,"29,73,190","-4,95,753",1.94,28.8,37.10%,17.78%,,-1
2,China,"1,41,60,96,094",-0.23%,"-32,25,184",151,"93,88,211","-2,68,126",1.02,40.1,67.50%,17.20%,,
3,United States,"34,72,75,807",0.54%,"18,49,236",38,"91,47,420","12,30,663",1.62,38.5,82.80%,4.22%,,
4,Indonesia,"28,57,21,236",0.79%,"22,33,305",158,"18,11,570","-39,509",2.1,30.4,59.60%,3.47%,,
5,Pakistan,"25,52,19,554",1.57%,"39,50,390",331,"7,70,880","-12,35,336",3.5,20.6,34.40%,3.10%,,
6,Nigeria,"23,75,27,782",2.08%,"48,48,304",261,"9,10,770","-15,258",4.3,18.1,54.90%,2.89%,,
7,Brazil,"21,28,12,405",0.38%,"8,13,832",25,"83,58,140","-2,17,283",1.6,34.8,91.40%,2.59%,,
8,Bangladesh,"17,56,86,899",1.22%,"21,24,535","1,350","1,30,170","-4,02,100",2.11,26,42.60%,2.13%,,
9,Russia,"14,39,97,393",-0.57%,"-8,23,030",9,"1,63,76,870","-2,51,822",1.47,40.3,75%,1.75%,,
10,Ethiopia,"13,54,72,051",2.58%,"34,12,284",135,"10,00,000","24,054",3.81,19.1,22.50%,1.65%,,
11,Mexico,"13,19,46,900",0.83%,"10,85,893",68,"19,43,950","-1,08,037",1.87,29.6,87.90%,1.60%,,
12,Japan,"12,31,03,479",-0.52%,"-6,49,562",338,"3,64,555","1,40,579",1.23,49.8,93.10%,1.50%,,
13,Egypt,"11,83,65,995",1.57%,"18,27,737",119,"9,95,450","-57,305",2.71,24.5,40.90%,1.44%,,
14,Philippines,"11,67,86,962",0.81%,"9,43,292",392,"2,98,170","-1,49,315",1.88,26.1,49.30%,1.42%,,
15,DR Congo,"11,28,32,473",3.25%,"35,56,208",50,"22,67,050","-27,309",5.9,15.8,45%,1.37%,,
16,Vietnam,"10,15,98,527",0.60%,"6,10,841",328,"3,10,070","-48,171",1.88,33.4,41.40%,1.23%,,
17,Iran,"9,24,17,681",0.93%,"8,49,943",57,"16,28,550","1,16,786",1.67,34,73.30%,1.12%,,
18,Turkey,"8,76,85,426",0.24%,"2,11,621",114,"7,69,630","-2,58,205",1.62,33.5,76.90%,1.07%,,
19,Germany,"8,40,75,075",-0.56%,"-4,77,167",241,"3,48,560","-3,34,072",1.46,45.5,76.50%,1.02%,,
20,Thailand,"7,16,19,863",-0.07%,"-48,148",140,"5,10,890","27,509",1.2,40.6,53.50%,0.87%,,
21,Tanzania,"7,05,45,865",2.90%,"19,85,708",80,"8,85,800","-12,730",4.47,17.5,40%,0.86%,,
