Country,"Yearly Water Used (m³, thousand of litres)",Daily Water Used Per Capita (litres),Population
India,"7,61,00,00,00,000","1,677","1,24,34,81,564"
China,"5,98,10,00,00,000","1,174","1,39,61,34,174"
United States,"4,44,30,00,00,000","3,732","32,61,26,497"
Indonesia,"2,22,60,00,00,000","2,305","26,46,27,418"
Pakistan,"1,83,50,00,00,000","2,653","18,94,99,113"
Iran,"93,30,00,00,000","3,638","7,02,56,316"
Mexico,"86,58,00,00,000","1,940","12,22,51,351"
Philippines,"85,14,00,00,000","2,185","10,67,35,719"
Vietnam,"82,03,00,00,000","2,772","8,10,88,313"
Japan,"81,45,00,00,000","1,741","12,81,92,470"
Egypt,"77,50,00,00,000","2,048","10,36,96,057"
Russia,"69,50,00,00,000","1,306","14,57,78,677"
Brazil,"63,50,00,00,000",856,"20,32,18,114"
Turkey,"58,95,00,00,000","1,978","8,16,52,088"
Thailand,"57,31,00,00,000","2,340","6,71,02,394"
Uzbekistan,"54,56,00,00,000","4,778","3,12,84,568"
Iraq,"38,55,00,00,000","2,745","3,84,69,627"
Argentina,"37,78,00,00,000","2,480","4,17,30,660"
Bangladesh,"35,87,00,00,000",657,"14,94,74,264"
Canada,"35,73,00,00,000","2,722","3,59,62,234"
Chile,"35,43,00,00,000","5,880","1,65,09,195"
Italy,"34,19,00,00,000","1,546","6,05,75,316"
Myanmar,"33,23,00,00,000","2,010","4,52,90,841"
Spain,"32,85,00,00,000","1,926","4,67,20,188"
France,"29,37,00,00,000","1,236","6,50,86,855"
South Korea,"29,20,00,00,000","1,672","4,78,51,644"
Turkmenistan,"27,95,00,00,000","15,445","49,58,093"
Sudan,"26,93,00,00,000","2,041","3,61,40,806"
Germany,"25,33,00,00,000",856,"8,10,41,582"
Saudi Arabia,"23,35,00,00,000","2,078","3,07,82,402"
Kazakhstan,"22,77,00,00,000","3,397","1,83,63,600"
Venezuela,"22,63,00,00,000","2,242","2,76,49,363"
Afghanistan,"20,28,00,00,000","2,760","2,01,30,327"
Syria,"16,76,00,00,000","2,441","1,88,14,091"
Australia,"16,13,00,00,000","1,816","2,43,29,963"
South Africa,"15,50,00,00,000",777,"5,46,78,791"
Peru,"13,66,00,00,000","1,303","2,87,19,041"
Madagascar,"13,56,00,00,000","1,883","1,97,30,909"
Sri Lanka,"12,95,00,00,000","1,755","2,02,16,524"
Azerbaijan,"12,78,00,00,000","3,512","99,68,510"
Nigeria,"12,47,00,00,000",205,"16,66,42,886"
Colombia,"11,77,00,00,000",737,"4,37,58,808"
Tajikistan,"11,49,00,00,000","4,460","70,57,566"
Malaysia,"11,20,00,00,000","1,188","2,58,36,071"
Poland,"10,58,00,00,000",758,"3,82,63,265"
Ethiopia,"10,55,00,00,000",271,"10,67,18,162"
Morocco,"10,43,00,00,000",880,"3,24,67,016"
Algeria,"9,97,80,00,000",669,"4,08,50,721"
Ecuador,"9,91,80,00,000","1,962","1,38,46,163"
Ukraine,"9,86,20,00,000",592,"4,56,16,832"
Greece,"9,63,00,00,000","2,389","1,10,45,737"
Nepal,"9,49,70,00,000",979,"2,65,65,425"
Portugal,"9,15,10,00,000","2,377","1,05,46,825"
Netherlands,"8,91,90,00,000","1,435","1,70,30,089"
North Korea,"8,65,80,00,000",972,"2,43,96,433"
United Kingdom,"8,42,00,00,000",350,"6,58,93,358"
Kyrgyzstan,"8,00,70,00,000","4,153","52,82,453"
Dominican Republic,"7,15,60,00,000","1,996","98,20,175"
Cuba,"6,95,90,00,000","1,688","1,12,98,167"
Finland,"6,56,20,00,000","3,414","52,66,247"
Romania,"6,37,40,00,000",883,"1,97,77,051"
Belgium,"6,00,50,00,000","1,522","1,08,12,935"
Libya,"5,83,00,00,000","2,585","61,79,328"
Bulgaria,"5,62,90,00,000","2,149","71,77,517"
New Zealand,"5,20,10,00,000","3,277","43,47,770"
Mali,"5,18,60,00,000","1,016","1,39,90,139"
Tanzania,"5,18,40,00,000",393,"3,61,21,304"
Hungary,"5,05,10,00,000","1,395","99,16,623"
Tunisia,"4,87,50,00,000","1,146","1,16,50,498"
Serbia,"4,70,70,00,000","1,810","71,26,083"
Puerto Rico,"4,15,30,00,000","3,063","37,14,836"
Kenya,"4,03,20,00,000",229,"4,81,39,687"
United Arab Emirates,"3,99,80,00,000","2,348","46,64,790"
Uruguay,"3,66,00,00,000","3,070","32,66,206"
Zimbabwe,"3,57,00,00,000",764,"1,28,04,058"
Yemen,"3,56,50,00,000",429,"2,27,90,085"
Laos,"3,49,30,00,000","1,630","58,69,523"
Austria,"3,49,20,00,000","1,144","83,65,092"
Guatemala,"3,32,40,00,000",681,"1,33,67,459"
Somalia,"3,29,80,00,000",912,"99,09,157"
Costa Rica,"3,19,40,00,000","1,816","48,18,038"
Norway,"3,02,60,00,000","1,761","47,09,010"
Armenia,"2,84,70,00,000","2,676","29,14,963"
Lithuania,"2,76,80,00,000","2,680","28,29,313"
Sweden,"2,68,90,00,000",786,"93,78,232"
Paraguay,"2,41,30,00,000","1,121","58,97,008"
Senegal,"2,22,10,00,000",581,"1,04,66,214"
Cambodia,"2,18,40,00,000",439,"1,36,39,028"
El Salvador,"2,11,80,00,000",966,"60,05,578"
Bolivia,"2,08,80,00,000",571,"1,00,16,275"
Switzerland,"2,00,50,00,000",687,"79,98,926"
Israel,"1,95,40,00,000",809,"66,15,087"
Lebanon,"1,84,00,00,000",779,"64,72,469"
Georgia,"1,82,30,00,000","1,267","39,41,195"
Niger,"1,74,70,00,000",231,"2,06,85,753"
Estonia,"1,72,00,00,000","3,585","13,14,452"
